,question,ground_truth,question_complexity,llm_only_response,llm_rag_response,hybrid_llm_rag_response,Relevancy_l,Accuracy_l,Completeness_l,Clarity_l,Conciseness_l,Relevancy_lr,Accuracy_lr,Completeness_lr,Clarity_lr,Conciseness_lr,Relevancy_hlr,Accuracy_hlr,Completeness_hlr,Clarity_hlr,Conciseness_hlr,rouge_l,rouge_lr,rouge_hlr
0,What are some examples of closely related courses in mathematics and physics?,"Some examples of closely related courses in mathematics and physics are statistical mechanics and stochastic processes, mechanics and dynamical systems, thermodynamics and Fourier Series.",simple,"1. Calculus and Mechanics: Calculus is a fundamental mathematical tool used in physics to analyze motion, forces, and energy.

2. Linear Algebra and Quantum Mechanics: Linear algebra is essential for understanding the mathematical formalism of quantum mechanics, which describes the behavior of particles at the smallest scales.

3. Differential Equations and Electromagnetism: Differential equations are used to model and solve complex systems in physics, such as electromagnetic fields and wave propagation.

4. Complex Analysis and Fluid Dynamics: Complex analysis provides powerful tools for studying fluid flow and turbulence in physics, particularly in the field of fluid dynamics.

5. Probability and Statistical Mechanics: Probability theory is used in statistical mechanics to describe the behavior of large systems of particles, such as gases and liquids.

6. Numerical Analysis and Computational Physics: Numerical methods are used to solve complex mathematical and physical problems that cannot be solved analytically, such as simulating the behavior of physical systems.

7. Group Theory and Particle Physics: Group theory is used in particle physics to describe the symmetries and interactions of subatomic particles.

8. Topology and Field Theory: Topology is used in field theory to study the properties of fields and their interactions in physics, such as in the theory of relativity.","Some examples of closely related courses in mathematics and physics include statistical mechanics and stochastic processes, mechanics and dynamical systems, thermodynamics and Fourier Series, and quantum mechanics and partial differential equations. These courses combine physics and mathematics to provide a comprehensive understanding of the interconnected nature of the two disciplines.","Some examples of closely related courses in mathematics and physics include statistical mechanics and stochastic processes, mechanics and dynamical systems, thermodynamics and Fourier Series, and quantum mechanics and partial differential equations. Additionally, the two departments jointly offer a course in mathematical methods in physics.",9.5,9,9.5,8.5,7,9.5,8,9,9,8,9.5,9,9,9.5,8,0.079024996,0.608858859,0.663101604
1,What is the minimum number of credit hours required for the PHIL capstone course?,The minimum number of credit hours required for the PHIL capstone course is 4.,reasoning,"The minimum number of credit hours required for the PHIL capstone course varies depending on the institution and program. Typically, a capstone course in philosophy may require 3-4 credit hours. It is important to check with your specific program or academic advisor for the exact credit hour requirements for the PHIL capstone course.",The minimum number of credit hours required for the PHIL capstone course is 4.,The minimum number of credit hours required for the PHIL capstone course is 4 hours.,5,4,6,7.5,4,10,10,10,10,10,10,10,10,10,10,0.375816993,1,0.964665815
2,What is José Buscaglia's position at Northeastern University?,"José Buscaglia's position at Northeastern University is Professor in the department of Cultures, Societies, and Global Studies.",simple,"José Buscaglia is an Associate Professor in the Department of Cultures, Societies, and Global Studies at Northeastern University.",José Buscaglia's position at Northeastern University is not provided in the context information available. It is recommended to consult the appropriate university resources or contact the university directly to inquire about José Buscaglia's position.,"José Buscaglia is a Professor in the Cultures, Societies, and Global Studies department at Northeastern University.",9,5,7,9,8.5,2,0,1,6.5,7,10,10,10,10,10,0.772331155,0.349477683,0.697303922
3,What is the total number of credit hours required for the Year 3 Fall semester at Northeastern University?,The total number of credit hours required for the Year 3 Fall semester at Northeastern University is 19.,reasoning,"The total number of credit hours required for the Year 3 Fall semester at Northeastern University varies depending on the student's program and course load. Typically, undergraduate students at Northeastern University take between 12-18 credit hours per semester. It is recommended to check with the specific program or academic advisor for the exact credit hour requirements for the Year 3 Fall semester.","For the Year 3 Fall semester at Northeastern University, a total of 0 credit hours are required.","In Year 3 Fall semester at Northeastern University, a total of 0 credit hours are required based on the provided context information.",3,2,4,6,3,3,0,2,5,8,2,1,2,5,7,0.401422764,0.61991342,0.456140351
4,What courses are related to the topic of Natural Resources and Sustainable Development?,"The courses related to the topic of Natural Resources and Sustainable Development are INTL 2464 Natural Resources and Sustainable Development, AFRS 2464 Natural Resources and Sustainable Development Asia.",multi-context,"1. Environmental Science
2. Sustainable Development
3. Natural Resource Management
4. Conservation Biology
5. Renewable Energy
6. Environmental Economics
7. Environmental Policy
8. Ecology
9. Climate Change and Adaptation
10. Water Resource Management","1. LARC 5220: Sustainable Landscape Practices - This course focuses on ecotechnologies operating in the built environment, covering topics such as green roofs, green walls, bioswales, and water detention methods.
2. CED 6120: Environmental Economics - Analyzes the efficient allocation of environmental resources and the impact on commerce and economic development, including global warming and habitat protection.
3. CED 6130: Sustainable Economic Development - Addresses the economics of balancing development and environmental impacts, exploring challenges and strategies in both developed and developing economies.
4. INTL 7986: Research - Offers students an opportunity to conduct full-time research under faculty supervision, focusing on global environmental governance and sustainable development diplomacy.","Courses related to the topic of Natural Resources and Sustainable Development at Northeastern University include:

1. ENVR 3150 - Food Security and Sustainability
2. ENVR 3200 - Water Resources
3. ENVR 5210 - Environmental Planning
4. ENVR 5350 - Sustainable Energy and Climate Solutions
5. ENVR 5800 - Climate Adaptation and Nature-Based Solutions
6. INTL 2464 - Natural Resources and Sustainable Development
7. INTL 5100 - Climate and Development
8. PPUA 5268 - International Environmental Policy

These courses cover a range of topics related to natural resources, sustainability, environmental planning, and climate solutions within the context of sustainable development.",7,5,6,8.5,7.5,4,6,7,8.5,6,8,8.5,9,8.5,7.5,0.153746411,0.165643115,0.368455744
5,What is bioengineering?,"Bioengineering is the application of engineering principles and techniques in a biological context, such as the human body, an ecosystem, or a bioreactor. It involves designing and implementing devices and instruments that interact with biological systems, considering the unique constraints and challenges that arise from this interface.",simple,"Bioengineering is a field that combines principles of biology and engineering to develop solutions for various medical and biological challenges. It involves the application of engineering principles and techniques to living organisms and biological systems in order to design and create new products, processes, and technologies that can improve human health and quality of life. Bioengineers work on a wide range of projects, such as developing artificial organs, designing medical devices, creating new drug delivery systems, and improving agricultural practices.","Bioengineering is a field of study that involves the application of engineering principles and techniques to biological systems and medical technologies. It encompasses a wide range of topics such as biomechanics, biofluids, and mechanobiology, focusing on the intersection of engineering and biology to solve complex problems in healthcare, biotechnology, and other related areas.","Bioengineering is a field that involves engineering in a biological context, such as the human body, ecosystems, or bioreactors. It focuses on designing, implementing, and creating devices, instruments, or implants that interface with biological systems. Bioengineering requires a multidisciplinary approach that considers mechanical, electrical, chemical, and materials properties of biological systems. It is a relatively new field that offers job opportunities in developing new products, instrumentation, and implants with a significant impact on human health. Bioengineering programs provide rigorous education, research opportunities, and specialized concentrations in areas such as biomechanics, biomedical devices, bioimaging, cell and tissue engineering, and systems, synthetic, and computational bioengineering.",9,9,8.5,9,7,9,8.5,8,9,7.5,9,9,8.5,9,7.5,0.294887139,0.327891156,0.32966967
6,"How does the PT 5138 course integrate the anatomy of the brain, brain stem, and spinal cord with the basic physiology of motor and somatosensory systems?","The PT 5138 course integrates the anatomy of the brain, brain stem, and spinal cord with the basic physiology of motor and somatosensory systems by studying them in specimens and on slides.",reasoning,"The PT 5138 course integrates the anatomy of the brain, brain stem, and spinal cord with the basic physiology of motor and somatosensory systems by providing a comprehensive understanding of how these structures work together to control movement and sensation in the body. 

Students in the course learn about the different regions of the brain and their functions, including the motor cortex, somatosensory cortex, and brainstem nuclei. They also study the pathways that connect these regions to the spinal cord, allowing for the transmission of signals between the brain and the rest of the body.

In addition, students learn about the basic physiology of motor and somatosensory systems, including how neurons communicate with each other to control movement and sensation. They also study the role of neurotransmitters, receptors, and other molecules in regulating these processes.

By integrating the anatomy of the brain, brain stem, and spinal cord with the physiology of motor and somatosensory systems, students in the PT 5138 course gain a deep understanding of how these structures work together to control movement and sensation in the body. This knowledge is essential for physical therapists to effectively assess and treat patients with neurological conditions or injuries.","The PT 5138 course at Northeastern University covers the structure and physiological function of the human nervous system with an emphasis on the clinical aspects of motor and somatosensory systems. It integrates the anatomy of the brain, brain stem, and spinal cord by studying them in specimens and on slides, and then integrates this anatomical knowledge with the basic physiology of motor and sensory systems. This integration allows students to understand how the structure of the nervous system relates to its function in controlling movement and sensation in the human body.","The PT 5138 course at Northeastern University covers the structure and physiological function of the human nervous system, with a focus on integrating the anatomy of the brain, brain stem, and spinal cord with the basic physiology of motor and somatosensory systems. Students study the anatomy of these structures in specimens and on slides, which is then integrated with the basic physiology of motor and sensory systems. The application of neuroscience to clinical neurological cases is a foundational aspect of this course, allowing students to understand the clinical aspects of motor and somatosensory systems.",9,9,9.5,8.5,7,9.5,9,9.5,9,8.5,9.5,9,8.5,9,7,0.233512238,0.463213062,0.457245264
7,What are the focal points in ecology and evolutionary biology for the combined major in data science and ecology and evolutionary biology?,"The focal points in ecology and evolutionary biology for the combined major in data science and ecology and evolutionary biology are population, community, and ecosystem ecology; evolution; and genetics.",multi-context,"Some focal points in ecology and evolutionary biology for the combined major in data science and ecology and evolutionary biology may include:

1. Population dynamics and modeling: Using data science techniques to analyze and model population dynamics, including factors such as birth rates, death rates, and migration patterns.

2. Phylogenetics and evolutionary relationships: Using data science tools to analyze genetic data and infer evolutionary relationships among species.

3. Community ecology: Using data science techniques to study interactions among species within ecological communities, such as competition, predation, and mutualism.

4. Conservation biology: Using data science to assess the impact of human activities on biodiversity and develop strategies for conservation and restoration.

5. Spatial ecology: Using data science tools to analyze spatial patterns in ecological systems, such as habitat fragmentation, species distributions, and movement patterns.

6. Climate change ecology: Using data science to study the effects of climate change on ecosystems and species, and develop strategies for adaptation and mitigation.

7. Behavioral ecology: Using data science techniques to study animal behavior and the ecological and evolutionary factors that shape it.

Overall, the combined major in data science and ecology and evolutionary biology can provide students with a strong foundation in both fields, allowing them to apply data science techniques to address complex ecological and evolutionary questions.","The focal points in ecology and evolutionary biology for the combined major in data science and ecology and evolutionary biology include population, community, and ecosystem ecology; evolutionary ecology and biology; conservation biology; population genetics; behavior; and ecological and evolutionary genomics.","The focal points in ecology and evolutionary biology for the combined major in data science and ecology and evolutionary biology include population, community, and ecosystem ecology; evolutionary ecology and biology; conservation biology; population genetics; behavior; and ecological and evolutionary genomics. These areas provide a strong foundation in the fundamentals of ecology and evolutionary biology, allowing students to study the collection, manipulation, storage, retrieval, and computational analysis of data in various forms.",9,8.5,9.5,8,6,9,7,8,9,6,9.5,7,8.5,9,6,0.192453711,0.750594852,0.516462585
8,What is the focus of IE 5617 Lean Concepts and Applications course?,The focus of the IE 5617 Lean Concepts and Applications course is to teach the fundamentals of lean thinking and how to apply this knowledge to practical problems.,simple,"The focus of IE 5617 Lean Concepts and Applications course is on understanding and applying lean principles and tools to improve processes, reduce waste, and increase efficiency in various industries. Students will learn about the history and principles of lean manufacturing, as well as how to identify and eliminate waste in processes. The course will also cover topics such as value stream mapping, 5S, kanban, and continuous improvement. Students will have the opportunity to apply these concepts through case studies and hands-on projects.","IE 5617 Lean Concepts and Applications course focuses on the fundamentals of lean thinking and how to apply this knowledge to practical problems. Lean thinking is essential for organizations aiming to stay competitive in global markets by making process changes to eliminate waste, shorten product delivery time, improve product quality, curtail costs, and enhance customer satisfaction. The course offers students the opportunity to learn concepts, process improvement tools, implementation methods, and best practices for lean workforce development through active learning exercises, simulations, and case studies from various disciplines. Students will also learn how lean principles are applied in manufacturing and non-traditional areas like knowledge work and healthcare systems.","The focus of the IE 5617 Lean Concepts and Applications course is to cover the fundamentals of lean thinking and how to apply this knowledge to practical problems. Lean thinking is essential for organizations looking to stay competitive in global markets by making process changes to eliminate waste, shorten product delivery time, improve product quality, reduce costs, and enhance customer satisfaction. The course offers students the opportunity to learn concepts, process improvement tools, implementation methods, and best practices for lean workforce development through active learning exercises, simulations, and case studies from various disciplines.",9,9,9,9.5,7,10,10,10,9,7.5,10,10,9,9.5,7,0.30487013,0.317671443,0.437576684
9,"Why is Northeastern University committed to the health, safety, and security of its students and all other members of the university community?","Northeastern University is committed to the health, safety, and security of its students and all other members of the university community because it is a global institution and its members undertake university travel around the world in pursuit of teaching and learning.",reasoning,"Northeastern University is committed to the health, safety, and security of its students and all other members of the university community because it recognizes that a safe and secure environment is essential for academic success and personal well-being. The university believes that all individuals have the right to learn, work, and live in an environment free from harm, discrimination, and violence. By prioritizing the health, safety, and security of its community members, Northeastern University aims to create a supportive and inclusive campus culture where everyone can thrive and reach their full potential. Additionally, the university is dedicated to upholding legal and ethical responsibilities to protect the well-being of its students and staff, and to foster a sense of trust and respect among all members of the community.","Northeastern University is committed to the health, safety, and security of its students and all other members of the university community as part of its ethical standards and principles. This commitment is reflected in the university's policies, which emphasize conducting all endeavors with the highest ethical standards, integrity, and compliance with legal and regulatory requirements. The university expects all members of the community to adhere to these principles, and failure to comply with university policies may result in various actions or sanctions to ensure a safe and secure environment for everyone involved.","Northeastern University is committed to the health, safety, and security of its students and all other members of the university community because as a global institution, university members undertake travel around the world for teaching, research, consulting, service, cocurricular activities, and work intended to advance learning and the interests of the university. This commitment is designed to reduce personal and university risk and ensure the well-being of all individuals involved in university activities.",8,7.5,9,8.5,7,8,7.5,7,8.5,6,9.5,9,9.5,9.5,8,0.340196316,0.38667038,0.577434967
